ACHID	DRUG_ID	CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data	Activity Error (SD)	FitType	EC50 (µM)	IC50 (µM)	Amax	ActArea
ACH-000219	1026	A375_SKIN	A-375	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,-5.8,-9.8,-23,-64,-77,-85,-84"	"3.55,2.05,.89,8.58,1.52,2.09,.34,1.47"	Sigmoid	0.150489956	0.169737235	-83.90649414	3.596
ACH-000681	1026	A549_LUNG	A549	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-7.3,-8.0,-24,-60,-105,-110,-110,-108"	"3.06,3.32,11.3,1.00,1.11,1.44,.54,.86"	Sigmoid	0.077502377	0.06676174	-109.752121	5.323
ACH-000052	1026	A673_BONE	A-673	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-18,-7.9,6.96,-28,-59,-77,-82,-83"	"27.4,3.25,3.68,14.5,.92,3.57,.023,.051"	Sigmoid	0.164396465	0.198152512	-82.30304718	3.549
ACH-000046	1026	ACHN_KIDNEY	ACHN	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-12,-6.3,-2.9,-2.4,-25,-53,-70,-74"	".77,2.66,.72,10.2,.33,5.85,7.62,1.24"	Sigmoid	0.472540706	0.678260922	-73.16583252	2.456
ACH-000105	1026	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-14,-7.8,-3.4,-2.1,-20,-62,-94,-94"	"3.19,3.67,17.6,.67,23.9,2.23,.20,.20"	Sigmoid	0.720209777	0.714353621	-93.95813751	2.973
ACH-000838	1026	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.83,-5.8,-50,-86,-95,-95,-95,-95"	"12.4,4.86,6.11,.096,0,0,0,0"	Sigmoid	0.022205526	0.025441425	-95.40047455	5.218
ACH-000940	1026	AN3CA_ENDOMETRIUM	AN3 CA	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-21,-6.6,-9.2,-57,-84,-85,-87,-90"	"7.51,6.34,4.29,4.54,1.11,1.52,2.23,1.27"	Sigmoid	0.073025443	0.074334152	-86.40607452	4.398
ACH-000222	1026	ASPC1_PANCREAS	AsPC-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-22,-19,-22,-45,-78,-73,-83,-83"	"11.6,10.6,6.33,14.8,7.11,14.4,4.03,10.0"	Sigmoid	0.08627671	0.072310209	-88.25067139	4.25
ACH-000248	1026	AU565_BREAST	AU565	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-18,-13,-55,-72,-69,-72,-73,-71"	".28,12.3,7.15,7.16,1.84,1.17,3.39,5.24"	Sigmoid	0.021328464	0.0233486	-71.35012054	4.43
ACH-001015	1026	AZ521_STOMACH	AZ-521	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.5,-30,-12,-8.8,-47,-70,-85,-89"	"10.4,3.71,12.5,3.48,1.14,.40,2.76,.50"	Sigmoid	0.26370734	0.315617204	-87.53659821	3.443
ACH-000456	1026	BCPAP_THYROID	B-CPAP	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.7,-8.6,-4.9,-7.3,-61,-66,-74,-75"	"1.96,1.53,3.77,.74,4.29,4.12,.74,6.83"	Sigmoid	0.184246182	0.210629389	-71.80564117	3.065
ACH-000080	1026	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-35,.22,-19,-.56,-64,-90,-96,-96"	"7.82,7.07,15.0,15.1,.33,2.56,.53,.88"	Sigmoid	0.200280085	0.204344377	-94.83753967	4.0056
ACH-000792	1026	BFTC909_KIDNEY	BFTC-909	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.4,-5.6,-11,-39,-69,-70,-71,-76"	"3.40,.082,8.51,17.8,5.27,8.42,8.98,6.70"	Sigmoid	0.081238762	0.104652666	-72.31032562	3.51
ACH-001017	1026	BGC823_STOMACH	BGC-823	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-13,-19,-21,-64,-83,-83,-82,-84"	"4.45,6.64,5.00,6.38,1.76,.38,1.57,.49"	Sigmoid	0.058104787	0.058758914	-83.67160797	4.49
ACH-000245	1026	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-25,-16,-3.8,-13,11.6,-55,-92,-94"	"4.03,.026,16.7,2.28,17.0,11.0,.65,.18"	Sigmoid	0.79903841	0.764389515	-93.49221039	2.988
ACH-000402	1026	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-15,.027,7.17,-7.1,-42,-92,-94,-93"	"6.87,10.5,4.02,4.24,1.69,.91,.43,.22"	Sigmoid	0.275329709	0.284389943	-94.26802826	3.431
ACH-000536	1026	BT20_BREAST	BT-20	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-17,21.2,-28,-14,-20,-24,-28,-39"	"1.15,5.07,11.4,1.79,21.1,8.50,1.83,8.98"	Constant	NA	8	-19.38268089	1.7
ACH-000927	1026	BT474_BREAST	BT-474	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.77,-14,-36,-79,-81,-86,-97,-95"	"9.85,5.55,.40,8.60,2.73,6.73,.21,3.48"	Sigmoid	0.033079438	0.044726733	-96.64443207	4.88
ACH-000288	1026	BT549_BREAST	BT-549	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-20,-23,-59,-66,-76,-80,-79,-80"	"10.5,6.78,3.22,2.13,7.12,7.63,.78,2.75"	Sigmoid	0.01780379	0.020397235	-77.85842896	4.83
ACH-000535	1026	BXPC3_PANCREAS	BxPC-3	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-17,-6.2,17.7,3.78,-73,-91,-92,-91"	"24.0,12.5,1.22,17.2,8.61,.25,1.12,.37"	Sigmoid	0.17851758	0.187336221	-91.50035095	3.702
ACH-000009	1026	C2BBE1_LARGE_INTESTINE	C2BBe1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-20,-2.2,16.6,-10,-20,-50,-71,-73"	"18.5,10.6,29.6,36.0,20.9,6.58,10.7,2.06"	Sigmoid	0.549149871	0.777057707	-73.16810608	2.462
ACH-000580	1026	C32_SKIN	C32	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-19,-76,-97,-96,-97,-96,-95,-96"	"10.5,15.2,.45,.62,.54,.40,.92,.76"	Sigmoid	0.007620106	0.006673547	-96.16029358	6.72
ACH-001021	1026	C3A_LIVER	C3A	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-1.8,-28,-43,-78,-93,-95,-95,-94"	"1.14,11.8,5.34,2.80,.82,.55,.56,.56"	Sigmoid	0.025190407	0.027727799	-95.84617615	5.278
ACH-000234	1026	CAKI2_KIDNEY	Caki-2	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.0,-3.9,-7.1,-39,-44,-50,-62,-63"	"5.07,11.0,8.60,18.8,12.1,.63,4.86,13.5"	Sigmoid	0.099662483	0.420389295	-60.96320724	2.73
ACH-000832	1026	CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-21,-20,-22,-16,-79,-84,-90,-89"	"4.50,3.23,7.66,5.22,2.01,.82,.18,3.24"	Sigmoid	0.173958063	0.166818783	-87.6975174	4.21
ACH-000826	1026	CAL12T_LUNG	CAL-12T	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-15,-24,-19,-34,-56,-84,-76,-88"	"13.1,15.2,6.92,.49,.88,9.31,3.54,5.22"	Sigmoid	0.185387149	0.183841035	-84.20608521	3.96
ACH-000516	1026	CAL78_BONE	CAL-78	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.0,-4.1,-5.3,-40,-74,-79,-77,-83"	"7.69,4.80,3.00,.78,7.04,7.58,5.26,3.05"	Sigmoid	0.081831008	0.099586673	-79.34264374	3.644
ACH-000857	1026	CAL851_BREAST	CAL-85-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-13,-10,-27,-30,-60,-63,-80,-81"	"4.74,7.58,3.40,7.17,1.83,5.74,5.80,1.05"	Sigmoid	0.141157091	0.175339907	-81.52091217	3.64
ACH-000511	1026	CALU1_LUNG	Calu-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-24,6.11,-19,-35,-70,-65,-74,-71"	"4.52,3.28,2.87,6.14,.23,5.18,.25,8.54"	Sigmoid	0.096476123	0.103493586	-70.29549408	3.58
ACH-000392	1026	CALU3_LUNG	Calu-3	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"22.4,1.28,3.29,-25,-38,-43,-51,-57"	"36.9,17.2,25.8,17.0,11.7,9.84,15.4,1.09"	Sigmoid	0.041841503	1.688857436	-55.95833206	2.14
ACH-000264	1026	CALU6_LUNG	Calu-6	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,-7.9,-1.0,5.80,-70,-74,-79,-76"	"3.04,2.12,4.06,9.90,1.41,1.43,2.24,4.84"	Sigmoid	0.165125921	0.183477089	-76.77734375	3.189
ACH-000783	1026	CAMA1_BREAST	CAMA-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-12,-35,-26,-56,-56,-53,-59,-72"	"15.2,15.9,9.19,8.73,.0094,1.51,7.68,2.69"	Sigmoid	0.013019911	0.141045213	-66.17385101	3.69
ACH-000107	1026	CAPAN2_PANCREAS	Capan-2	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"11.9,-16,-16,-71,-87,-87,-91,-91"	"15.5,7.96,22.3,5.79,3.93,2.17,1.25,4.17"	Sigmoid	0.046799377	0.046125766	-91.8241806	4.59
ACH-000464	1026	CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-25,-8.5,-1.00,-2.7,-37,-39,-68,-70"	"12.4,21.9,7.11,16.5,12.5,5.13,.76,8.02"	Sigmoid	0.671148479	1.019528747	-71.53601837	2.512
ACH-000963	1026	CCK81_LARGE_INTESTINE	CCK-81	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-39,8.88,-36,-21,-48,-84,-80,-83"	"19.4,7.33,3.26,34.5,4.10,1.02,7.63,1.05"	Sigmoid	0.316282302	0.263275087	-82.64190674	3.91
ACH-001024	1026	CHL1_SKIN	CHL-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.6,-2.7,-9.3,-3.0,-73,-78,-79,-78"	"4.25,10.9,8.86,11.7,.95,.82,.21,4.84"	Sigmoid	0.15370594	0.165819794	-78.36354828	3.326
ACH-000120	1026	CHP212_AUTONOMIC_GANGLIA	CHP-212	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-13,15.5,-36,-94,-98,-97,-98,-98"	"0,0,0,.14,1.10,.61,.54,.30"	Sigmoid	0.026552394	0.029792815	-97.897789	5.34
ACH-000687	1026	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-31,-25,18.5,-23,-37,-64,-88,-94"	"14.3,7.32,5.05,49.5,3.46,5.51,2.55,1.84"	Sigmoid	0.706982791	0.479196012	-94.21889496	3.62
ACH-001037	1026	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"9.46,6.14,11.8,8.62,-42,-74,-77,-82"	"25.8,13.8,13.2,5.97,7.14,.48,2.84,3.45"	Sigmoid	0.239659965	0.322528064	-80.8249588	2.75
ACH-000253	1026	COLO201_LARGE_INTESTINE	COLO 201	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-15,35.9,-16,-71,-92,-91,-94,-94"	"5.01,6.89,3.30,6.08,.011,.57,.87,.35"	Sigmoid	0.027629554	0.046831898	-93.79592896	4.73
ACH-001039	1026	COLO205_LARGE_INTESTINE	COLO 205	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-30,-19,-74,-93,-96,-95,-96,-95"	"23.1,13.4,9.19,.14,1.31,.42,.97,.53"	Sigmoid	0.016277781	0.014756449	-95.37152863	5.98
ACH-000582	1026	COLO741_SKIN	COLO 741	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-8.8,-3.2,-22,-18,-23,-44,-56,-64"	"4.48,5.93,10.5,2.71,3.96,5.33,2.06,3.98"	Sigmoid	0.660736561	1.479850173	-64.61505127	2.39
ACH-000202	1026	COLO320_LARGE_INTESTINE	COLO-320	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-16,-9.2,-19,-17,-12,-49,-65,-90"	"8.01,2.67,6.55,11.3,6.39,21.8,.51,.25"	Sigmoid	1.897327304	1.569168806	-90.01780701	2.772
ACH-000350	1026	COLO678_LARGE_INTESTINE	COLO-678	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,-27,-44,-56,-66,-64,-65,-68"	"15.9,13.0,2.77,1.78,2.10,4.96,3.63,2.85"	Sigmoid	0.013500599	0.040361557	-66.7589798	4.01
ACH-000805	1026	COLO679_SKIN	COLO-679	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-27,5.22,-23,-48,-73,-78,-76,-77"	"3.19,2.17,3.44,9.06,2.35,1.06,.37,.81"	Sigmoid	0.031729337	0.062656693	-77.54040527	4.02
ACH-001041	1026	COLO699_LUNG	COLO-699	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-12,-2.7,-25,-11,-43,-54,-54,-55"	"4.44,.67,6.09,5.31,7.56,.74,1.79,.33"	Sigmoid	0.198866218	0.336357296	-54.54711151	2.567
ACH-000161	1026	CORL105_LUNG	COR-L105	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.3,.53,9.17,11.7,-22,-45,-78,-85"	"23.3,8.47,18.0,5.77,14.3,3.63,1.84,.0090"	Sigmoid	0.728481233	0.887269139	-85.30766296	2.3
ACH-000662	1026	CORL23_LUNG	COR-L23	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-10,-8.0,-5.9,-1.6,-22,-67,-72,-72"	"2.02,.90,5.01,6.49,2.33,10.6,6.36,1.94"	Sigmoid	0.479296297	0.608988762	-72.16020966	2.585
ACH-000256	1026	COV318_OVARY	COV318	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-14,-14,-15,6.10,-15,-36,-49,-44"	"5.59,27.1,22.5,11.5,8.31,7.16,4.10,26.6"	Sigmoid	0.557713151	8	-48.664505	1.87
ACH-001048	1026	COV504_OVARY	COV504	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-30,-12,-10,-22,-47,-59,-72,-71"	"5.70,17.0,.18,12.8,12.2,2.40,1.62,3.82"	Sigmoid	0.261089951	0.347438395	-70.69543457	3.23
ACH-000211	1026	DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-1.4,-30,3.54,-33,-16,-83,-84,-88"	"19.1,14.3,11.6,9.41,6.57,7.84,2.61,5.16"	Sigmoid	0.485228688	0.477916837	-86.34555054	3.354
ACH-000863	1026	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.4,-2.3,-2.6,1.21,-43,-69,-71,-78"	"1.52,2.20,11.4,8.08,7.70,2.90,2.15,.74"	Sigmoid	0.238610581	0.276005715	-72.44678497	2.753
ACH-000233	1026	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"4.80,-10,-33,-79,-91,-92,-93,-92"	"9.78,16.9,14.7,7.24,.10,1.35,.76,.32"	Sigmoid	0.03076688	0.035145033	-92.26708984	4.9
ACH-000207	1026	DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-23,-3.8,-9.5,15.7,-53,-59,-68,-63"	"4.34,2.64,9.06,7.85,2.25,.96,1.45,1.71"	Sigmoid	0.187755972	0.238989621	-63.67699051	2.793
ACH-000244	1026	DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	".090,-1.8,-8.8,-35,-47,-57,-72,-74"	"2.12,1.62,6.39,8.05,.66,.45,1.2e-4,.42"	Sigmoid	0.123933911	0.319927543	-74.13994598	2.956
ACH-000530	1026	DMS114_LUNG	DMS 114	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"8.54,8.25,7.27,-6.2,-21,-52,-72,-78"	"3.29,8.72,1.16,3.36,10.3,3.13,.37,4.50"	Sigmoid	0.38508141	0.695213139	-78.65285492	2.292
ACH-000056	1026	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH-2	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-23,3.32,-.087,-19,-39,-63,-79,-82"	"19.7,21.1,7.64,11.4,4.14,8.61,2.37,6.41"	Sigmoid	0.33423841	0.409685045	-82.00114441	3.05087
ACH-001063	1026	DOV13_OVARY	DOV13	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-7.2,-1.2,-7.5,-1.5,-31,-85,-91,-91"	"6.58,9.37,8.15,15.0,4.38,2.17,1.30,1.67"	Sigmoid	0.345077246	0.350310981	-90.99004364	3.154
ACH-000979	1026	DU145_PROSTATE	DU 145	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-8.2,-4.5,-35,-69,-81,-82,-81,-82"	"5.48,4.19,12.8,5.09,1.24,.63,.21,.36"	Sigmoid	0.038949654	0.044969238	-81.79323578	4.427
ACH-000925	1026	DV90_LUNG	DV-90	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-22,-26,-13,-46,-67,-85,-91,-90"	"25.7,25.9,3.77,7.71,3.02,3.88,2.54,.15"	Sigmoid	0.110455282	0.120939881	-90.60025024	4.4
ACH-000877	1026	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-17,-14,-.19,-18,-3.9,-49,-65,-76"	"24.5,24.1,9.77,2.58,1.72,2.35,12.3,3.24"	Sigmoid	0.709325135	0.812782228	-71.11301422	2.4309
ACH-001064	1026	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-30,-15,3.03,2.57,-11,-25,-57,-63"	"13.0,4.56,.92,3.16,21.8,4.95,12.4,1.99"	Sigmoid	1.110284328	1.756111383	-63.21701431	2.01
ACH-000563	1026	EBC1_LUNG	EBC-1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.4,2.76,-66,-66,-71,-71,-77,-70"	"7.63,3.28,4.36,.052,.69,.36,.043,1.09"	Sigmoid	0.015572329	0.018749278	-71.19284821	4.254
ACH-000435	1026	EFE184_ENDOMETRIUM	EFE-184	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.10,-12,5.82,-.78,-26,-58,-55,-59"	"8.06,4.39,9.57,2.46,1.07,3.59,.85,1.72"	Sigmoid	0.264932662	0.387381613	-57.2739296	2.1078
ACH-000330	1026	EFM19_BREAST	EFM-19	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-5.1,3.03,-16,-60,-66,-69,-68,-75"	"4.23,6.61,3.70,.95,5.53,2.46,4.03,.10"	Sigmoid	0.042367008	0.058103666	-69.85145569	3.591
ACH-000308	1026	EFO21_OVARY	EFO-21	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-6.0,-8.2,-5.1,-20,-47,-64,-55,-70"	"12.9,2.53,17.8,8.74,7.3e-4,1.06,14.0,1.50"	Sigmoid	0.180796623	0.288561821	-68.23006439	2.753
ACH-000936	1026	EFO27_OVARY	EFO-27	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-6.6,-2.7,-6.9,-13,-51,-74,-79,-87"	"1.38,1.38,6.27,12.8,25.3,3.76,.82,4.84"	Sigmoid	0.317508072	0.366359919	-82.51599884	3.202
ACH-000295	1026	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM-2	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-14,-8.8,-1.3,-25,-83,-94,-94,-94"	"12.2,.87,15.4,10.5,2.81,.33,.012,.36"	Sigmoid	0.133837685	0.130336672	-94.45192719	4.141
ACH-000978	1026	EN_ENDOMETRIUM	EN	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-22,-17,-14,-30,-46,-48,-46,-56"	"11.4,5.24,21.9,11.6,14.5,7.44,5.47,5.20"	Sigmoid	0.104442269	8	-49.7822113	2.79
